context_id,context_note
1021,"Cut for clay lined pit containing 1251,1299,1332,1339,1382....."
1021,Oval shape without corners. At least 1.5m deep but not fully excavated in 1998.
1024,"Almost lines up with longer trench [1574], (1009). See plan of fill (1008) for plan. Cut not planned."
1024,"Linear cut,  Victorian, and containing (1008)."
1024,"Rectilinear in plan, straight sided, width 0.62m and depth 0.50m to 0.53m. Sharp top edges, near vertical sides, sharp bottom edges, flat base and orientation NE/SW.  See also 1008."
1044,"Circular pit, 2.26m in width. Lined with flint and clay. Depth: 2.72m Clear edge definition."
1044,"Cut for well or pit containing (1045, 1521, 1534, 1585, 1610, 2383, 2384)."
1044,"Well or rubbish pit. Some fills (1521 and 1610) contained lots of building material. Work in 2000 revealed a square opening narrowing to a roughly circular opening. Plan 21.13 Section 84, 135, 209"
1047,"Friable 2.5Y 4/2 dark greyish-brown silty sandy clay with 5 to 15% sub-angular and sub-rounded flint (2mm to 6cm in diameter), 2% CBM, 1% chalk, 1% pottery and 1% charcoal."
1047,Triangular-shaped area; possible pit fill.
1047,Unknown deposit.
1067,A gravel spread which may relate to the use of house 1.
1067,Gravel spread.
1067,Gravel surface?
1068,A gravel spread which may relate to the use of House 1.
1068,Gravel spread.
1125,"13-55cm wide, 178cm long,"
1125,Only a very small area survives
1125,Tesselated floor surface located in the east corner of Room 2.
1126,6.4m long x 3.3m wide.
1126,Gravel make-up for tesselated floor surface in room 2.
1129,(1129) has been truncated by [1095] which also cuts through (1527). Both these contexts overlie (1951) and therefore are the same make-up layer. May be the same context as (1527). Context has been completely removed. Plan from 98 (16).
1129,"Dark grey brown, friable, sandy silt containing >70&#037; gravel pebbles, sub-angular to sub-rounded and 2-6cm. Occasional chalk chunks and CBM chunks. 6cm deep x 475cm x 230cm. Excavated by mattock and shovel in overcast conditions. Clear edge definition."
1129,"Gravel make up layer, NE of tesselated floor though card missing."
1138,Was a wall number for house 1 but has been replaced with 1664 (RLS)
1140,Remains of robbed out interior wall of House 1.
1140,Wall made uo of CBM of 12-20cm in size. Broken floor and roof tiles. 1 course of CBM (foundations). Faces are NE-SW. Binding material is a yellow clay. Wall measures 565cm x 80cm x 15cm.
1141,"Broken tile foundation for robbed out wall 1797 forming a continuation of 1140/1188, House 1."
1141,"Broken tile foundation sitting within shallow broken up construction cut (hence 2 numbers [3667] & [3668], latter being the SE segment - more irregular but obviously the same construction phase. Completely removed in 2002 Plan numbers 11.06"
1141,One course of broken roof and floor tiles measuring c15-25cm as a foundation raft with the face running SE-NW. 2.36m x 0.6m
1142,UNUSED MAYBE
1150,Flints of 10-15cm in size and unworked. 5 courses of large stones with 0.3m of smaller stones bonded by mortar Dimensions: 7.1m x 0.7m x 0.9m (height) Directions of faces: NE/SW
1150,Outer wall along south-western end of House 1.
1150,"Robbed out exterior wall to House 1. This wall is the widest and most substantial foundation related to House 1 so far. It is unsure whether this is purely because it is an end wall with enormous bearing potential. New plans were made of this wall in 2002 - 2.47, 2.48 - these have not been digitised and have been filed away for information. In 2003, 1150 was completely removed. It is the most substantial wall related the SW House and is part of a single build with all the other walls of the SW House. Deepest of constructions because of the underpinning of the wall in order to prevent slumping which eventually did occur. Foundations get deeper as the wall moves NW. The wall is deepest at the junction with wall 1157.  Section no: 369, 374, 489, 498 <I>[ 01/01/2004]</I>"
1151,Outer wall along northern edge in south western corner of House 1
1151,This wall has been robbed out.  This context has not been excavated.
1151,"Wall made up of 10-15cm sized unworked flints. 2 courses so far, faces face SE/NW. 11.2m long x 50cm wide x 12-15cm high."
1152,"Flint, 10-15cm in size and unworked. 2/3 courses as excavated. wall facings are SE-NW. 3.35m long x 55cm wide x 25cm high."
1152,"Possible exterior wall to House 1, Room 4b. Part of an earlier phase of building as it lies inside wall 1151. This wall has been robbed out. Butts/butted by 1153 and maybe 1189. Adjoining part of 1152-1153 has been excavated. In 2003, wall 1152 was fully removed. Found to be constructed in a single building phase with all other walls of SW House.  Plan no: 2.32, 2.33 (these are the plan numbers for the south eastern extent of wall 1152 that was dealt with and planned in 2002) Section no: 373, 380, 514"
1152,Wall of House 1
1154,Flint and CBM - flints of 10-15cm (some up to 60) and CBM= 40cm. Unworked flints of 1-2 courses - NW-SE faces. 154cm long x 12cm high x 53cm wide.
1154,Robbed out wall. Walls 1154 and 1184 are part of 1151.
1154,Section of outer wall of House 1 parallel to 1153
1156,Small scattered section of wall along south-western end of House 1
1157,Flints of 10-15cm and unworked. 3-4 courses of stone and faces are NW-SE Sporadic facing on both sides - chipping of flint common Dimensions: 6.08m x 0.45m x 0.7m (height) Lower courses are bonded by mortar - patchy on the upper levels and mixed with silty gravel fill
1157,Interior flint wall
1157,"Interior flint wall. Butted by clays (1818) and (2023). Sits within construction cut [4361]. Wall 1157 was removed in 2003. Found to be an interior wall of the SW House, built in a single phase with walls 1150 and 1163 and all other walls of the SW House earliest flint phase. This wall appears narrower than the exterior wall, possibly because it is an interior feature for division rather than a load-bearing wall.  Section no: 374, 489, 509"
1158,"Flints of 10-15cm, unworked and 3-4 courses as excavated. Flints in the lower course measure 3-10cm Wall faces SW and NE. 420cm long x 40cm wide x 17cm high."
1158,Interior wall of House 1/SW House
1158,"Robbed out wall in the interior of House 1, possibly part of (2004) which has created a corridor in Room 4. May be part of an earlier building. A further 1.8m of the lower course of wall was found after excavation of the fill (3294) of robber trench [3708]. It was shown that it meets wall 2022 to the east. The flints were much small than the upper courses making a very stable foundation for the wall. Wall 1158 was completely removed in 2003. More narrow than the exterior walls of the SW House and not load-bearing. Built in a single phase of the SW House with walls 1160, 1152 and all other walls of the SW House. Strat below (4354) and (4218). Strat above [4373]. Butted by (4354) and (4218).  Plan no: 11.110 Section no: 512"
1159,"Wall in House 1, in GS 14 but re-numbered in seperate parts as 1743, 1744 and 1745 because numbers could not be located when needed."
1160,5 courses of wall foundation constructed from a mixture of knapped and faced flints - the largest measuring 0.18mx 0.17m and the smallest measuring 0.06m x 0.04m. The uppermost course is fragmented. Direction of faces: NW and SE Bonded with fine gravel and degraded mortar Dimensions: 0.44m x 0.57m
1160,Exterior wall of SW House
1160,"In 2003, section 505 was put through wall 1160 towards the NE corner of the SW House. It is evident that wall 1160 is the same as wall 1746 with construction cut [4360] being the same as [4356]. It was noted that the cut of the wall followed the flints closely. Wall 1160/1746 runs from the SW corner of the house as footings being robbed by robber cut [4017]. Towards the NE corner it was robbed, but the robber cut is removed by Victorian trench [1558]. The wall forms the exterior wall of the SW House and is larger possibly to bear more load. Same phase as walls 1150 and 1162 as well as all of the other walls to the SW House. Strat below (3680).  Removed completely in 2003. Section no: 505, 525, 496"
1161,"Flints of 10-15cm, unworked. 5 courses but not well sorted. Bonded by fine gravel and silt aggregate mix - no surviving mortar Wall faces NE-SW and is 193cm long x 62cm wide x 50cm high."
1161,Interior wall of SW House
1161,"Wall truncated by cut of Ogham pit [1170]. There is no sign of it continuing on the opposite side of [1170] so most likely originally extending as far as the alignment of SW-NE walls 1743 & 1745 which belong to the same phase as 1161. Completely removed in 2003. Found to be an interior wall of the SW House as more narrow that the exterior walls and therefore not load-bearing. Built in a single phase with all the other walls of the SW House including 1160. Strat below (1832). Strat above [3378]. Plan number 11.15 Section no: 337, 525"
1162,1 course of a wall constructed from unworked flints measuring on average 0.1-0.15m  Direction of faces: NE-SW Dimensions: 220cm long x 46cm widew x 13cm high.
1162,Interior wall of SW House
1162,"Robbed out interior wall of SW House. Part of a single phase of SW House along with walls 1163, 2125, 2124 and all other wall of the SW House. 1162 is equalled with 2125 and 2124 as part of 1163. Probably a load-bearing wall as it is closer in width to the exterior walls those on the interior. Strat below (2023) and (3678). Butts 1187, 1743, 1163, 2125. Completely removed in 2003.  Section no: 514, 508, 496"
1163,2-3 courses of wall constructed from unworked flints measuring on average 0.1-0.15m Direction of faces: NE-SW Dimensions: 4.04m x 0.2m height x 0.5m wide
1163,"Robbed out interior wall. 1163 runs through rooms 5, 6 and 7. It is partially robbed in room 5. Same build as walls 2124, 2125 and 1162. Same phase as all the other walls in the SW House. Wider than the other partition walls suggesting that this may have been a load bearing wall. Strat below (2023) and (3678). Butts 1162, 1188, 1157. Completely removed in 2003. Section no: 514, 508, 596, 533"
1163,"Section of wall adjoining (1162), in south-western end of House 1."
1164,Flint wall butting against wall 1015 at northern end and cut by Victorian cut 1091 at southern end. Partition wall between rooms 1 and 2 running on the southeast/northwest alignment. Completely removed in 2003 Plan is in with the wall plans for house 1 Section no: 321
1164,"Partition wall between rooms 1 and 2 aligned SW-NE, House 1."
1164,Single course of rough hewn knapped flint with rubble core Bonded by degraded mortar that has turned into a sandy loam 50cm wide x 5.55cm long
1165,Cruder construction than the earlier internal walls of House 1. wall terminates at SW end with no evidence of it's abutting wall. Is truncated in NW corner by pit [1438]. No evidence for the original foundation cut as it has been truncated by the Victorian trench. A 1m section was cut through 1165 in 2001 (section 338) Section no: 338 & 343
1165,"Made up of flint nodules, occasional CBM and river cobbles. Flints measure  30cm, 10-20cm, CBM measures 9cm and river cobbles 10cm.  2 courses of roughly dressed flints nodules, 17cm high. Knapped faces do not form the face of the wall - they point in all directions suggesting the flints are re-used Bonded by a yellow brown clay (similar in character to (3048) and (3049))"
1165,"Main section of long outer wall of House 1, on northern edge"
1167,"This may have been a wall number for house 1, replaced by 1533"
1168,"Single course of knapped flint, 50% CBM inclusions."
1168,"SW wall of Room 3, House 1."
1168,Unusual because contains reused broken brick and tile. CBM used for core of wall.
1173,Butts against 1700 which indicates an entrance or opening in the SE wall. Context has not been removed.
1173,"Made up of flint nodules CBM; River cobbles; 1 unrounded yellow translucent quartz. Large flints of 20cm x 25cm, 10cm-15cm - the lowest 2 courses of freshly quarried(?) irregular flints (chalk still adhering) were intricately laid. Flints with very little clay packing 0.1-0.5m;  CBM measuring 10cm. Flints are roughly faced and 2 courses deep up to 25cm. 640cm long x 40cm wide. Within the packing there were a few small fragments of charcoal, a mussel shell, a burnt flint (1cm) Clear edge definition."
1173,Outer wall of House 1 on southern edge.
1174,"Butts against NE wall 1553. This wall was called 1552 in 1998 so some references to 1552 may still exist. Cut by 1295. Similar to 1744, 1173, 1553, 1165. Fill of/part of 3991. Completely removed in 2002"
1174,"Made of flint nodules and CBM. There are large flint nodules of 25-30cm, regular flint nodules of 15-20cm and CBM of less than 10cm. The flint nodules are roughly faced. There are two regular courses which face SE (external) and NW (internal). The wall is 26cm high x 40cm wide x 780cm long"
1174,Section of SE aisle wall of House 1
1183,Was a wall number for house 1 but has been replaced by 1664 (RLS)
1184,Context has not been excavated.
1184,"Exterior wall of House 1, possible later phase."
1184,"Flints of 10-15cm and unworked, 2-3 courses as excavated. wall faces NW and SE and is approximately 400cm long x 27cm high c 38cm wide."
1187,Flint nodules of 10-15cm in size. Unworked and 3 courses.  orientated S/E-N/W and 683cm long x 39cm wide x 15cm high. Bonded by gravelly clay
1187,"Possible exterior wall to later building, House 1."
1187,This cuts wall 1162  and is cut by pit 1384.  Floor surface 1768 is contemporary with wall 1188/1187. Partition between rooms 6 and 7 set within shallow construction cut [3625]. 3 courses of poorly sorted flints with a wider top course. Nature of wall suggests that it was a foundation for a timber structure not a flint structure. Completely removed in 2002. Section no: 366
1188,Flint nodules of 15-20cm size and unworked.  1 course and orientated SE-NW and bonded by a grey clay. 175cm long x 80cm wide x 10cm high.
1188,Possibly re-used as a post-pad.  Contemporary with 1868/1797.
1188,"Remains of robbed out interior wall to later building, House 1."
1223,Cleaning surface of floor in Room 5.
1223,No other context notes. Samian 2nd/3rd C.  CC Coarse latest roulette dec.  Oxfordshire feature post-used glass.  Oxfordshire early mortarium.  Oxfordshire Drag 45 250-400.  CC 250-400.
1237,Cleaning layer for Room 7 but blank card.
1237,No notes
1240,Cleaning layer for Room 6 but blank card.
1241,Linear with irregular edges and slopes due to nature of robbing base taken down to tile foundations of wall.
1241,Robber trench associated with wall 1188 in Room 6 and containing (1243)
1242,"Cut for pit E, but no card."
1242,No card
1243,Backfilling of robber trench 1241 around wall 1188.
1243,Deposit mainly gravels and small flints similar to surrounding floor surface
1243,"Ginger flecked dark grey, very firm and friable silty sand with clay lenses 70% flints and gravels, sub rounded, 2-6mm 360cm x 90cm x up to 20cm thick"
1254,"creamy/beige/light yellowish, consolidated/firm, 80&#037; gravel, 20&#037; silty sandy loam, >70&#037; pea gravel of all roundedness, 2mm-6cm approx 20 x 30 metres known extent. Very good edge definition."
1254,"Probably butts up to the main diagonal building. Very even consolidated gravel cobbled surface.<BR>Still to be excavated in 2000.<BR>  Has been planned but unfortunately, plans are not consistent between grid squares and there are lots of areas where it is unclear what happens to the layer (RLS). The boundaries between 1247 and 1254 are not clearoly enough planned and some arbitrary lines have been included. <SPAN CLASS='id'>[19/01/2001 RSHAFFREY]"
1254,Re-deposited gravel natural forming a yard surface.
1257,Victorian trench containing (1305) possibly extension of [1069](1053).
1258,Dark plough soil overlying corridor of Room 8
1258,"TPQ=100.  Grey ware, BB1 & Samian all 2nd - 4th C."
1258,"Very dark grey, moderately firm, coarse sandy silt. 35-70% gravels and flints, sub rounded, 2-6cm 1100 x 190cm  x 2-4cm thick"
1264,"Dark grey, friable, slightly gritty sandy silt, 15-35&#037; gravel, sub angular, 6-20mm. 60cm diameter. 6 flints around circumferneces up to 20 x 10 x 10cm."
1264,Needs attention in 1999 and now possible 2000 as no new notes in 1999.
1264,Possible small post hole / pipe cut through clay floor.
1277,Layer under (1247) and over (1254).
1277,No details
1277,No details and BF could not find this in 1999.
1288,Layer fill of votive  pit 1359 - now 1576
1288,Truncated by Victorians chasing walls.
1288,"Very dark grey, friable, loamy sand. 35-70% pebbles and gravel, sub rounded, 2-6cm 190cm x 140cm x 90cm thick"
1296,Fill of pit 1295.
1296,"Very dark grey, friable, sandy clay. 5-15% gravel, sub angular, 2-6cm."
1296,Victorian trench 1014 identified a pit and partially excavated it.
1302,"2.5Y 4/4, firm, slightly silty coarse sand and containing 35-70&#037; small sub-round flint nodules.   195cm x 185cm, 5cm thick."
1302,A spread of silty sand.
1302,"Spread of dark earth, cut on 3 sides by Victorian trenches."
1351,Layer of fill in pit [1295].
1351,see 1296
1351,"Very dark brown, 7.5 YR 2.5/3, friable, sandy Clay  containing <1% gravel, sub-angular, 6-20mm."
1358,Sub rectangular feature in south west corner of diagonal building
1358,"Truncated by Victorian trenches, filled by dirty yellow brown clay. notes not clear but see context card for diagram"
1362,Layer of fill of pit [1295].
1362,"Very dark greyish brown 10YR 3/2,  friable, sandy clay and containing 1-5% sub angular gravel 6-20mm."
1393,Gravel deposit on North end of wall (1188)
1393,"Light grey/brown, moderately loose, slightly sandy silt and containing gravel.  5. Approx. 60cm 0/6cm thick."
1393,Siimilar to wall disturbance 1336.  Possibly related to floor make up in Room 6. Floor make-up&#063;
1395,Clay lining of pit [1021].
1395,"Survives almost completely and becomes noticeably damper and stickier below depth of 1.2 m. Not fully excavated in 1998, not known what work done in 1999. Extends under  flint floor 1016 becoming the make-up layer where flints are set."
1395,"yellow with occasional pale blue patches, firm and hard at towards base firm but damp and sticky, sandy clay and containing 1-5&#037; flint pebbles and cobbles, angular to sub rounded and 2mm-20cm in size. Some groupings / lines of flint cobbles between 5 and 30cm thick (at base)."
1396,"Dark brown, firm and sticky, sandy clay containing 15-35&#037; very small pebbles, infrequent very medium sized pebbles, angular to sub angular and 2-20mm 5. 10cm max"
1396,Layer between cut for pit [1021] and lining (1395)
1396,Material  making up 1396 probably dumped before feature was lined. Section 57.
1397,Fill of depression or shallow cut.
1397,Fill partially encased by 1466 a possible Victorian backfill May be associated with robber cut for back of room 1.
1397,"Very dark grey, 10YR 3/1, mixed, yellow and black clay with some silty inclusions, sandy clay  and containing 35-70&#037; inclusions, sub angular to sub rounded, 2mm-6cm"
1410,Spread of clay partially covering 1397
1410,"yellow clay, compacted and containing 30&#037; inclusions, sub angular to sub rounded and 6mm-6cm 5. 4m x 2.5 m extent, variable edge definition"
1433,Hearth below Vict.  backfill [1297]
1433,No notes
1433,No other notes except 'group no.'
1447,Context has been completely removed.  Op. Sig. Plan number still 1447/16D and section number 113.
1447,Heat altered fill which may be top layer of a furnace.
1447,"Pinkish white loose, silt. 61cm wide by 2mm deep. Contains 1-5% large sub-rounded pebbles. Trowelled in sunny dry conditions."
1448,Burnt layer below 1447 - possibly second fill of furnace
1448,Context completely excavated.  Plan number still 1447 16D and section 113.
1448,"Red, friable, clayey silt. 61cm wide x 7cm deep. Contains 1-5% pebbles, 2-6cm in size and sub-rounded. trowelled in sunny dry conditions."
1457,"1. very dark greyish brown  2. silty  3.  4.  15-35% gravel inclusions, sub angular and 2-20mm. Also flint, nails, charcoal and pottery."
1457,Some tesselated flooring showing through area 21C in NE corner of diagonal building.
1457,Thin layer of silty gravelly soil under clay layer /over burnt surface.
1461,Clay surface
1461,No card
1465,Mixed clay fill of 1295.
1465,No card.
1466,"1. Sandy clay   2. yellow   3. 15cm deep, 2m x 4m.  4. 15-35%  flint and gravel, of angular to  sub rounded and 2mm-20cm."
1466,Area to north of robber cut 1535 and next to 1488.
1466,Similar to 1410.
1472,"Clay spread overlying dark spread (1277), similar to adjacent (3634). Cut through by post hole [3325]. It appears to have be removed partially in earlier seasons (1998) without up dating records. Hence, original extent not fully known. Completely removed in 2001 Partially planned (see plan window) but not fully - appears on plans of other contexts only and not frequently enough to digitise extent [22/01/2001 RSHAFFREY]"
1472,"Large yellowish clay spread in 04, 09"
1472,"Mid greyish yellow, friably silty clay Inclusions: CBM flecks 5%, gravel pebbles 5-15% (S-A) (S-R) (2-6mm) (6-20mm) Thickness: 10cm max Vague edge definition"
1474,"1. grey  2. sandy silt  4. >70% gravel and flint, sub rounded, 2-6cm. less than 6cm thick"
1474,Fill of irregular hollow in NW corner of building.
1474,Part of supposed floor make up in Room 5.
1476,Mixed fill of pit.
1476,No other notes
1476,"Yellow sandy clay with a red burnt area and very dark greyish brown, 5-15&#037; charcoal and nails, sub angular to sub rounded, 2mm-6cm"
1477,"1. very dark grey  2. moderately firm  3. coarse sandy silt   4. 35-70% gravel and flint, sub rounded, 2-6cm   940cm x 680cm x 2cm thick"
1477,No notes
1477,"Stiff trowell of room 4 to further define features, 1498 and 1499."
1482,1. Irregular  3. 180cm x 90cm x 10cm thick  4-7. Gradual slopes with irregular sides and base No vertical edges o defined shape
1482,Cut for slumping feature containing 1456.
1482,Possibly infilled slumping feature under clay floor surface to NW of diagonal building (outside).
1486,"Black, clay, gritty"
1486,Dark layer below (1476).
1486,No notes.
1488,"1. dark grey  2.  silty clay   35-70&#037; gravel and CBM, of all roundedness, 2mm - 6cm 4.3m NS x 1.1m EW Contains 5-15&#037; gravel pebbles, subangular to sub rounded and 2-6cm and charcoal."
1488,Cut by Victorian trench 1124. Context has now been completely removed. Plan numbers 16.01 and 16.03 and section 112.
1488,Secondary fill of robber trench 1535.
1498,"1. Dark grey brown   2. Friable / loose  3. Gritty silty sand  4. >70% gravels and small flints, sub rounded, 6-20mm. 5. 370cm x 270cm x 15cm thick"
1498,No other notes
1498,Possible floor levelling in sub square pit 1626.
1517,Fill of post hole / pit [1524]
1517,Fill of post hole / pit [1524]. Strat below (1461). Strat above [1524]. <BR>Plan no: 1517<BR>Sample no: 72</P> {}
1517,"Friable, dark grey / brown silty clay loam <BR>Inclusions: 5-15% stones (S-A) (2-6mm);&nbsp; 1% charcoal;&nbsp; &nbsp;1% CBM<BR>Extent: 0.41m x 0.46m;&nbsp;&nbsp;&nbsp; Thickness: 0.15m<BR>Clear edge definition</P> &nbsp;</P> &nbsp;</P> {}"
1518,"1. Mid brown but darkening gradually downwards  2. Friable 3. Silty clay loam  4. 5% stones, 1% charcoal, sub angular, 2- 6cm 5. 46cm x 54cm x 2/13cm deep with clear edge definition"
1518,Packing of similar dimensions to posthole 1517.
1518,Post / stake hole filling 1526
1524,"Circular in plan, measuring 0.48m x 0.48m with a depth of 0.19m<BR>Break of slope (top &amp; base): sharp<BR>U-shaped profile with straight sides and a flat base<BR>Contains (1517)</P> {}"
1524,Post hole cut containing (1517)
1524,Post hole cut containing (1517). Very uniform in shape with a packed gravel base and two large flints embedded in the wall of the cut on the north side. A smaller post hole is in very close proximity and had a very similar fill. See [1526] / (1518) and [1584] / (1580). <BR>Plan no: 1524<BR>Section no: 73</P> {}
1525,"1. Dark brown  2. Friable  3. Sandy clay loam  4. 2% gravel, 1% sub angular pebbles, 15% CBM, 2-6mm 5. 2.33m x 1.15m x 4cm deep diffuse edge definition"
1525,"Not a cut feature, possibly floor make up, irregularly shaped with few pottery finds."
1525,Shallow dump of dark earth in the corridor of building one.
1526,Cut extends on south east side before petering out. The fill extended from the post hole in an amporphous spread.
1526,Cut for a small post hole containing 1518
1526,"Irregular  2. Some sharp corners, but those to the east are not perceptible 55cm x 14cm deep with a pointed base"
1527,"35-70% gravel and frequent stones, 2-6cm, sub angular. 4.75m x 6.50m"
1527,"Enclosed by Victorian trenches 1095, 1091, 1017, 1124 and 1038, cut through the middle of 1090."
1527,Gravel make up for a floor surface in Room 1.
1528,"1. Mid orange pink  4. crushed CBM (70%) and 5-15% pebbles, sub angular, 2-6cm 90cm x 65cm"
1528,Possible remains of  floor surface in Room 1 overlying the gravel 1527. May be the same context as 1529.
1528,Spread of crushed brick enclosed by gravel make up 1527.
1529,"1. Mid orange pink  4. 50% or more crushed CBM, moe intense in patches, 5-15% pebbles, gravel and chalk, sub angular and 2-6cm 30 x 80cm"
1529,Possible remains of floor surface in Room 1.
1529,Spread of crushed brick enclosed by gravel make up 1527
1530,"1. Yellow clay  3. sandy clay 5-15% dark charcoal, gravel and pebbles. 170cm x 90cm"
1530,Northern side has been cut by possible robber trench 1535 and on the north west side by 1090. Possible levelling of floor surauface in Room 1.
1530,Yellow clay spread  overlying gravel make up 1527 in room 1.
1531,35-70&#037; gravel and pebbles and 1&#037; CBM. 45cm x 70cm.
1531,"Fill with high charcoal content, similar to (1792."
1531,Likely to be part of [1784]. Cut by Victorian trench 1090 Plan number 16.30 and section 176.
1533,"Linear, single course of knapped flint wall with 40% CBM inclusions. Some flints are rough and some are dressed. Bonded by a sandy loam with some clay and degraded mortar. SW part: 4m x 0.5m     NE part: 2m x 0.5m Clear but wavy edge definition"
1533,"SE wall of room 3, House 1."
1533,"Wall at the south of rooms 2 and 3 in the NE house. See 1998 context card for the section at Room 3. Section at the south end of Room 2 consists of 3 courses with a homogenous bond and there is less CBM used in construction (this is a significant element, particularly of the top course of the more SW section of this wall). The most SE section is an extension 3271, added when southerly room of NE house was extended. 1533 is the top course only for the  southern section, all flints for northern section (separate number for make-up). Plan no: Part of wall plans for house 1 Section no: 317, 321, 345 Accuracy rating - 3  Use of reused  broken brick and tile, as rubble infill of wall. Truncated at junction with 1168."
1535,Cut for robber trench containing (1488) & (1771)
1535,"Linear in plan measuring 0.5-0.8m x 4.5m x 0.3m Break of slope (top & base): Gradual Slightly convex sides (50 degrees) with a flat base Contains (1488), (1771) Clear edge definition"
1535,"Robber trench associated with the robbing out of wall 3201 and possibly also wall 1015. At the NE corner, the trench turns from it\'s SE/NW alignment towards the SW and continues for c.0.5m until it is truncated by Victorian trench [1124]. On the other side of [1124], cut [1017] continues on the same alignment as [1535] and is probably a continuation of the robbing disrupted by Victorian trenches. A remnant of the robbed out wall remains at the NE corner has been numbered 4076.  Plan no: 16.20"
1540,"1. Circular, 2. No  3. 400mm wide,  x 350mm x 250mm deep. 4. W/A 5. vertical  6. slightly concave clear edge definition"
1540,Posthole containing (1541)
1541,"1. Dark grey brown  2. Friable  3. Sarndy clay  4. 35-70% pea gravel with 2% CBM fragments, sub angular to rounded, 2mm-20cm 250mm thick x 365mm with clear edge definition"
1541,Fill of post hole 1540
1541,No other notes
1542,Make up / levelling deposit under diagonal building.
1542,Seen in section 100 where cut  by 1320. Under flint floor 1016 it becomes clay lining of pit [1021] ie. (1395).
1542,"Yellow brown, sandy clay, friable soft containing  5-15&#037; stones, sub rounded, 6-20mm Variable extent, probably under &quot;diagonal&quot; building. 20cm thick Good edge definition 72cm  x 20cm deep."
1543,"1. Yellowish grey  2. Silt   3. Compact  4. >70&#037; flints, , sub angular to sub rounded, 2mm-20cm.  52cm deep, 41cm wide, length unknown fairly good edge definition"
1543,"Possibly earlier wall below falling line of 1533, House 1."
1543,roughly SE/NW orientation
1544,"1. Reddish yellow  2. gritty / silty   1-5% charcoal / burnt nails / chalk / plaster material, some tesselated areas, sub angular to sub rounded Good edge definition.  7m x 3.5m x 5cm deep"
1544,Large ' hearth' area or destruction level.
1544,Many nails in area. Some magnetic response from burnt soil in places. Cut by Victorian trenches 1124 and 1123.
1545,Cuts through wall 1163. Deposit similar to make-up of floors in Rooms 6 and 7.
1545,Fill of robber trench 1700 along wall 1187.
1545,"Ginger flecked grey , friable, coarse pea gravel / silty sand with frequent clay lenses. 4. >70&#037; small flints and gravels, sub rounded, 6-20mm. 5. 740cm x 110cm x 20cm thick"
1546,"Dark grey / brown, friable, andy clay loam-ß<BR> <5% gravel inclusions, sub angular, 2-6mm-ß<BR>32cm x 20cm x 2.5cm thick-ß<BR>Clear edge definition."
1546,Not found to be a post hole on excavation
1546,Small circular depression cutting into yellow clay floor surface.
1552,No card
1552,"SE outside wall of diagonal building, house 1. Replaced with 1174"
1553,Made up of flint nodules (25-30cm and 15-20cm) and CBM (<10cm). these are roughly faced and 1 course deep. NE facing external side and SW internal. 0.10m high x 0.36m wide x 12.1m long. Clear edge definition.
1553,"NE outside wall of diagonal building, house 1."
