ID,PID,CONTEXT,TYPE,FILL_OF,EXMETHOD,DESCRIP,COMPSN,NOTES
51,C51,2082,C,0,,Post-hole cut filled by (2188) and post-pipe(2094).,"Irregular shaped but truncated by pit. 40cm x 37cm x 20cm deep. Sharp breaks of slope, smooth and vertical sides.",
52,C52,2083,S,4125,Trowel,Wall,"Wall comprised of limestone (roughly squared / worked), flint, chalk and CBM<br />Limestone: 0.6m x 0.3m x 0.25m;&Atilde;&sbquo;&Acirc;&nbsp;&Atilde;&sbquo;&Acirc;&nbsp; Flint: 30mm x 20mm x 20mm;&Atilde;&sbquo;&Acirc;&nbsp;&Atilde;&sbquo;&Acirc;&nbsp; Chalk: 30mm x 20mm x 10mm;&Atilde;&sbquo;&Acirc;&nbsp;&Atilde;&sbquo;&Acirc;&nbsp; CBM 30mm x 30mm x 30mm<br />Direction of faces: NW-SE<br />Bonded by impure clay<br />Dimensions: 0.8m x 0.5m (NE section);&Atilde;&sbquo;&Acirc;&nbsp; 2.2m x 0.45m (SW section)<br />The limestone is from Bath and is re-used in 2083  </p>","Wall structure comprised mainly of impure clay running NE-SW. Also contained two large limestone blocks with flat surfaces&nbsp; - possibly used as supports for vertical posts. Strat above (5461). Cut by wall construction cut [4363].&nbsp;Contemporary with walls 3297 and 3284. In 2002,&nbsp;a section through pit [1019] revealed&nbsp;that wall 2083&nbsp;is overlain by later wall 1583. Completely removed in 2004.<BR>Plan no: 10.48, 10.49, 10.55<BR>Section no: 407 <BR>Accuracy rating - 4</P> {}"
63,C63,2094,F,0,,Fill of post-pipe [2082].,"Dark greyish brown, loam and grainy containing 10&#037; angular 6-20mm gravel. 6cm deep x 12cm diameter. Trowelled in wet conditions.",Context has been completely removed. Plan numbers include 15.38 (pre-ex).
64,C64,2095,D,0,,Brick tesselated floor in 2056 and 2082,Visible only in section and at base of possible post-hole.,Crudely constucted or much disturbed tesselated floor surface.  Context has not been removed and remains for 2000
65,C65,2096,C,0,Trowel,Cut for small post containing (2189).,"Oval shaped, 8cm x 6cm x 16cm deep. Sharp breaks of slope with vertical sides and flat base. Clear edge definition.",Context has been completely excavated. Plan number 15.40
89,C89,1015,S,0,Trowel,"The flint foundation to the north-west wall of Rooms 2 and 3, House 1.",Single course of wall comprised of flints measuring 0.11m x 0.24m (dressed facing stones) and 0.05m x 0.18m (rough hewn core flints).  Bonded by a degraded mortar that has turned into a sandy loam mixed with the rubble Extent: 9.28m x 0.54m   Thickness: 0.2m Clear edge definition,"Knapped flint wall with facing stones and a flint rubble core. Wall robbed out at NW end but any evidence for robber trench destroyed by Victorians. Possible repair to SW corner of wall, where clay make-up for building has been cut through and possibly deeper for foundations inserted. Possible NE extent of 1015 is 4076, discovered in the 2002 season. 4076 is a fragment containing a cornerstone and a few other flints on the same alignment as 1015 and 3201 but separated from 1015 by robber trench [1535] and Victorian trenches [1124] and [1017]. The section was cut back and re-drawn in 2003.  Plan no: Included within the House 1 wall plans collection Section no: 328, 467 <I>[ 01/01/2004]</I>"
90,C90,1016,D,0,Trowel,"Uneven flint surface to Room 3, house 1, cobbled floor","90% flint nodules (between 0.1-0.17m in size), 1-2% CBM<BR>Extent: 4.8m x 5.6m {}","Flint surface to Room 3, possibly mortared originally.<BR>The flints are large and irregular, presenting an uneven surface to this room. It had been cut through by at least 3 later pits. There was a suggestion of mortar adhering to the surface of some of these flints; perhaps the original surface was roughly mortared. Butts up against the flint walls that enclose it - 1018, 1015, 1533 and 1168. It is cut by wall repair [1615] {}"
92,C92,1018,S,0,Trowel,"Single coursed flint wall foundation dividing Rooms 2 and 3, House 1. <I>[ 01/01/2004]</I>",Single course of knapped flint with a flint rubble core (flints measuring 0.14m-0.24m; rubble measuring 0.1m-0.18m) Dimensions: 4.3m x 0.5m  Clear edge definition by wavy in places,"Flint wall, cut in SE corner by pit F [1320] and butts up against (1015). 4595 is possible repair at the northern end of the wall. Top course of the internal wall of the NE house. 2 courses below. Both sides, flints dressed to make a straight edge. Strat below (1016), (1729), [1095]. Strat above (1542). Butts 4595. Completely removed in 2003. Plan no: Amongst the House 1 wall plans Section no: 423 Accuracy rating - 3"
95,C95,1021,C,0,,"Cut for clay lined pit containing 1251,1299,1332,1339,1382.....",Oval shape without corners. At least 1.5m deep but not fully excavated in 1998.,"Also contains 1378, 1395,1396 and 1688, 2029. Excavated by Victorians but classed by them as  a single pit with one other. Relationship with 1386 unknown.  Clay lining of pit extends under floor 1016 which suggests that the two were contemporaneous."
98,C98,1024,C,0,Trowel,"Linear cut,  Victorian, and containing (1008).","Rectilinear in plan, straight sided, width 0.62m and depth 0.50m to 0.53m. Sharp top edges, near vertical sides, sharp bottom edges, flat base and orientation NE/SW.  See also 1008.","Almost lines up with longer trench [1574], (1009). See plan of fill (1008) for plan. Cut not planned."
118,C118,1044,C,0,Trowel,"Cut for well or pit containing (1045, 1521, 1534, 1585, 1610, 2383, 2384).","Circular pit, 2.26m in width. Lined with flint and clay. Depth: 2.72m Clear edge definition.","Well or rubbish pit. Some fills (1521 and 1610) contained lots of building material. Work in 2000 revealed a square opening narrowing to a roughly circular opening. Plan 21.13 Section 84, 135, 209"
121,C121,1047,F,0,,Unknown deposit.,"Friable 2.5Y 4/2 dark greyish-brown silty sandy clay with 5 to 15% sub-angular and sub-rounded flint (2mm to 6cm in diameter), 2% CBM, 1% chalk, 1% pottery and 1% charcoal.",Triangular-shaped area; possible pit fill.
141,C141,1067,D,0,,A gravel spread which may relate to the use of house 1.,Gravel spread.,Gravel surface?
142,C142,1068,D,0,,A gravel spread which may relate to the use of House 1.,Gravel spread.,
198,C198,1125,D,0,Trowel,Tesselated floor surface located in the east corner of Room 2.,"13-55cm wide, 178cm long,",Only a very small area survives
199,C199,1126,D,0,,Gravel make-up for tesselated floor surface in room 2.,6.4m long x 3.3m wide.,
202,C202,1129,D,0,Trowel,"Gravel make up layer, NE of tesselated floor though card missing.","Dark grey brown, friable, sandy silt containing >70&#037; gravel pebbles, sub-angular to sub-rounded and 2-6cm. Occasional chalk chunks and CBM chunks. 6cm deep x 475cm x 230cm. Excavated by mattock and shovel in overcast conditions. Clear edge definition.",(1129) has been truncated by [1095] which also cuts through (1527). Both these contexts overlie (1951) and therefore are the same make-up layer. May be the same context as (1527). Context has been completely removed. Plan from 98 (16).
211,C211,1138,D,0,,Was a wall number for house 1 but has been replaced with 1664 (RLS),,
213,C213,1140,S,0,Trowel,Remains of robbed out interior wall of House 1.,Wall made uo of CBM of 12-20cm in size. Broken floor and roof tiles. 1 course of CBM (foundations). Faces are NE-SW. Binding material is a yellow clay. Wall measures 565cm x 80cm x 15cm.,
214,C214,1141,S,0,Trowel,"Broken tile foundation for robbed out wall 1797 forming a continuation of 1140/1188, House 1.",One course of broken roof and floor tiles measuring c15-25cm as a foundation raft with the face running SE-NW. 2.36m x 0.6m,"Broken tile foundation sitting within shallow broken up construction cut (hence 2 numbers [3667] & [3668], latter being the SE segment - more irregular but obviously the same construction phase. Completely removed in 2002 Plan numbers 11.06"
215,C215,1142,D,0,Trowel,UNUSED MAYBE,,
223,C223,1150,S,3638,Trowel,Outer wall along south-western end of House 1.,Flints of 10-15cm in size and unworked. 5 courses of large stones with 0.3m of smaller stones bonded by mortar Dimensions: 7.1m x 0.7m x 0.9m (height) Directions of faces: NE/SW,"Robbed out exterior wall to House 1. This wall is the widest and most substantial foundation related to House 1 so far. It is unsure whether this is purely because it is an end wall with enormous bearing potential. New plans were made of this wall in 2002 - 2.47, 2.48 - these have not been digitised and have been filed away for information. In 2003, 1150 was completely removed. It is the most substantial wall related the SW House and is part of a single build with all the other walls of the SW House. Deepest of constructions because of the underpinning of the wall in order to prevent slumping which eventually did occur. Foundations get deeper as the wall moves NW. The wall is deepest at the junction with wall 1157.  Section no: 369, 374, 489, 498 <I>[ 01/01/2004]</I>"
224,C224,1151,S,0,Trowel,Outer wall along northern edge in south western corner of House 1,"Wall made up of 10-15cm sized unworked flints. 2 courses so far, faces face SE/NW. 11.2m long x 50cm wide x 12-15cm high.",This wall has been robbed out.  This context has not been excavated.
225,C225,1152,S,3627,Trowel,Wall of House 1,"Flint, 10-15cm in size and unworked. 2/3 courses as excavated. wall facings are SE-NW. 3.35m long x 55cm wide x 25cm high.","Possible exterior wall to House 1, Room 4b. Part of an earlier phase of building as it lies inside wall 1151. This wall has been robbed out. Butts/butted by 1153 and maybe 1189. Adjoining part of 1152-1153 has been excavated. In 2003, wall 1152 was fully removed. Found to be constructed in a single building phase with all other walls of SW House.  Plan no: 2.32, 2.33 (these are the plan numbers for the south eastern extent of wall 1152 that was dealt with and planned in 2002) Section no: 373, 380, 514"
227,C227,1154,D,0,Trowel,Section of outer wall of House 1 parallel to 1153,Flint and CBM - flints of 10-15cm (some up to 60) and CBM= 40cm. Unworked flints of 1-2 courses - NW-SE faces. 154cm long x 12cm high x 53cm wide.,Robbed out wall. Walls 1154 and 1184 are part of 1151.
228,C228,1157,S,4361,Trowel,Interior flint wall,Flints of 10-15cm and unworked. 3-4 courses of stone and faces are NW-SE Sporadic facing on both sides - chipping of flint common Dimensions: 6.08m x 0.45m x 0.7m (height) Lower courses are bonded by mortar - patchy on the upper levels and mixed with silty gravel fill,"Interior flint wall. Butted by clays (1818) and (2023). Sits within construction cut [4361]. Wall 1157 was removed in 2003. Found to be an interior wall of the SW House, built in a single phase with walls 1150 and 1163 and all other walls of the SW House earliest flint phase. This wall appears narrower than the exterior wall, possibly because it is an interior feature for division rather than a load-bearing wall.  Section no: 374, 489, 509"
229,C229,1158,S,4373,Trowel,Interior wall of House 1/SW House,"Flints of 10-15cm, unworked and 3-4 courses as excavated. Flints in the lower course measure 3-10cm Wall faces SW and NE. 420cm long x 40cm wide x 17cm high.","Robbed out wall in the interior of House 1, possibly part of (2004) which has created a corridor in Room 4. May be part of an earlier building. A further 1.8m of the lower course of wall was found after excavation of the fill (3294) of robber trench [3708]. It was shown that it meets wall 2022 to the east. The flints were much small than the upper courses making a very stable foundation for the wall. Wall 1158 was completely removed in 2003. More narrow than the exterior walls of the SW House and not load-bearing. Built in a single phase of the SW House with walls 1160, 1152 and all other walls of the SW House. Strat below (4354) and (4218). Strat above [4373]. Butted by (4354) and (4218).  Plan no: 11.110 Section no: 512"
230,C230,1160,S,4360,Trowel,Exterior wall of SW House,5 courses of wall foundation constructed from a mixture of knapped and faced flints - the largest measuring 0.18mx 0.17m and the smallest measuring 0.06m x 0.04m. The uppermost course is fragmented. Direction of faces: NW and SE Bonded with fine gravel and degraded mortar Dimensions: 0.44m x 0.57m,"In 2003, section 505 was put through wall 1160 towards the NE corner of the SW House. It is evident that wall 1160 is the same as wall 1746 with construction cut [4360] being the same as [4356]. It was noted that the cut of the wall followed the flints closely. Wall 1160/1746 runs from the SW corner of the house as footings being robbed by robber cut [4017]. Towards the NE corner it was robbed, but the robber cut is removed by Victorian trench [1558]. The wall forms the exterior wall of the SW House and is larger possibly to bear more load. Same phase as walls 1150 and 1162 as well as all of the other walls to the SW House. Strat below (3680).  Removed completely in 2003. Section no: 505, 525, 496"
231,C231,1161,S,3378,Trowel,Interior wall of SW House,"Flints of 10-15cm, unworked. 5 courses but not well sorted. Bonded by fine gravel and silt aggregate mix - no surviving mortar Wall faces NE-SW and is 193cm long x 62cm wide x 50cm high.","Wall truncated by cut of Ogham pit [1170]. There is no sign of it continuing on the opposite side of [1170] so most likely originally extending as far as the alignment of SW-NE walls 1743 & 1745 which belong to the same phase as 1161. Completely removed in 2003. Found to be an interior wall of the SW House as more narrow that the exterior walls and therefore not load-bearing. Built in a single phase with all the other walls of the SW House including 1160. Strat below (1832). Strat above [3378]. Plan number 11.15 Section no: 337, 525"
232,C232,1162,S,4364,Trowel,Interior wall of SW House,1 course of a wall constructed from unworked flints measuring on average 0.1-0.15m  Direction of faces: NE-SW Dimensions: 220cm long x 46cm widew x 13cm high.,"Robbed out interior wall of SW House. Part of a single phase of SW House along with walls 1163, 2125, 2124 and all other wall of the SW House. 1162 is equalled with 2125 and 2124 as part of 1163. Probably a load-bearing wall as it is closer in width to the exterior walls those on the interior. Strat below (2023) and (3678). Butts 1187, 1743, 1163, 2125. Completely removed in 2003.  Section no: 514, 508, 496"
233,C233,1163,S,4364,Trowel,"Section of wall adjoining (1162), in south-western end of House 1.",2-3 courses of wall constructed from unworked flints measuring on average 0.1-0.15m Direction of faces: NE-SW Dimensions: 4.04m x 0.2m height x 0.5m wide,"Robbed out interior wall. 1163 runs through rooms 5, 6 and 7. It is partially robbed in room 5. Same build as walls 2124, 2125 and 1162. Same phase as all the other walls in the SW House. Wider than the other partition walls suggesting that this may have been a load bearing wall. Strat below (2023) and (3678). Butts 1162, 1188, 1157. Completely removed in 2003. Section no: 514, 508, 596, 533"
234,C234,1164,S,0,Trowel,"Partition wall between rooms 1 and 2 aligned SW-NE, House 1.",Single course of rough hewn knapped flint with rubble core Bonded by degraded mortar that has turned into a sandy loam 50cm wide x 5.55cm long,Flint wall butting against wall 1015 at northern end and cut by Victorian cut 1091 at southern end. Partition wall between rooms 1 and 2 running on the southeast/northwest alignment. Completely removed in 2003 Plan is in with the wall plans for house 1 Section no: 321
235,C235,1165,S,0,Trowel,"Main section of long outer wall of House 1, on northern edge","Made up of flint nodules, occasional CBM and river cobbles. Flints measure  30cm, 10-20cm, CBM measures 9cm and river cobbles 10cm.  2 courses of roughly dressed flints nodules, 17cm high. Knapped faces do not form the face of the wall - they point in all directions suggesting the flints are re-used Bonded by a yellow brown clay (similar in character to (3048) and (3049))",Cruder construction than the earlier internal walls of House 1. wall terminates at SW end with no evidence of it's abutting wall. Is truncated in NW corner by pit [1438]. No evidence for the original foundation cut as it has been truncated by the Victorian trench. A 1m section was cut through 1165 in 2001 (section 338) Section no: 338 & 343
237,C237,1168,S,0,Trowel,"SW wall of Room 3, House 1.","Single course of knapped flint, 50% CBM inclusions.",Unusual because contains reused broken brick and tile. CBM used for core of wall.
241,C241,1173,S,3993,Trowel,Outer wall of House 1 on southern edge.,"Made up of flint nodules CBM; River cobbles; 1 unrounded yellow translucent quartz. Large flints of 20cm x 25cm, 10cm-15cm - the lowest 2 courses of freshly quarried(?) irregular flints (chalk still adhering) were intricately laid. Flints with very little clay packing 0.1-0.5m;  CBM measuring 10cm. Flints are roughly faced and 2 courses deep up to 25cm. 640cm long x 40cm wide. Within the packing there were a few small fragments of charcoal, a mussel shell, a burnt flint (1cm) Clear edge definition.",Butts against 1700 which indicates an entrance or opening in the SE wall. Context has not been removed.
242,C242,1174,S,0,Trowel,Section of SE aisle wall of House 1,"Made of flint nodules and CBM. There are large flint nodules of 25-30cm, regular flint nodules of 15-20cm and CBM of less than 10cm. The flint nodules are roughly faced. There are two regular courses which face SE (external) and NW (internal). The wall is 26cm high x 40cm wide x 780cm long","Butts against NE wall 1553. This wall was called 1552 in 1998 so some references to 1552 may still exist. Cut by 1295. Similar to 1744, 1173, 1553, 1165. Fill of/part of 3991. Completely removed in 2002"
251,C251,1183,D,0,Trowel,Was a wall number for house 1 but has been replaced by 1664 (RLS),,
252,C252,1184,S,0,Trowel,"Exterior wall of House 1, possible later phase.","Flints of 10-15cm and unworked, 2-3 courses as excavated. wall faces NW and SE and is approximately 400cm long x 27cm high c 38cm wide.",Context has not been excavated.
255,C255,1187,S,0,Trowel,"Possible exterior wall to later building, House 1.",Flint nodules of 10-15cm in size. Unworked and 3 courses.  orientated S/E-N/W and 683cm long x 39cm wide x 15cm high. Bonded by gravelly clay,This cuts wall 1162  and is cut by pit 1384.  Floor surface 1768 is contemporary with wall 1188/1187. Partition between rooms 6 and 7 set within shallow construction cut [3625]. 3 courses of poorly sorted flints with a wider top course. Nature of wall suggests that it was a foundation for a timber structure not a flint structure. Completely removed in 2002. Section no: 366
256,C256,1188,S,0,Trowel,"Remains of robbed out interior wall to later building, House 1.",Flint nodules of 15-20cm size and unworked.  1 course and orientated SE-NW and bonded by a grey clay. 175cm long x 80cm wide x 10cm high.,Possibly re-used as a post-pad.  Contemporary with 1868/1797.
291,C291,1223,D,0,,Cleaning surface of floor in Room 5.,,No other context notes. Samian 2nd/3rd C.  CC Coarse latest roulette dec.  Oxfordshire feature post-used glass.  Oxfordshire early mortarium.  Oxfordshire Drag 45 250-400.  CC 250-400.
305,C305,1237,D,0,,Cleaning layer for Room 7 but blank card.,No notes,
308,C308,1240,D,0,,Cleaning layer for Room 6 but blank card.,,
309,C309,1241,C,0,Trowel,Robber trench associated with wall 1188 in Room 6 and containing (1243),Linear with irregular edges and slopes due to nature of robbing base taken down to tile foundations of wall.,
310,C310,1242,C,0,,"Cut for pit E, but no card.",No card,No card
311,C311,1243,F,0,Trowel,Backfilling of robber trench 1241 around wall 1188.,"Ginger flecked dark grey, very firm and friable silty sand with clay lenses 70% flints and gravels, sub rounded, 2-6mm 360cm x 90cm x up to 20cm thick",Deposit mainly gravels and small flints similar to surrounding floor surface
322,C322,1254,D,0,,Re-deposited gravel natural forming a yard surface.,"creamy/beige/light yellowish, consolidated/firm, 80&#037; gravel, 20&#037; silty sandy loam, >70&#037; pea gravel of all roundedness, 2mm-6cm approx 20 x 30 metres known extent. Very good edge definition.","Probably butts up to the main diagonal building. Very even consolidated gravel cobbled surface.<BR>Still to be excavated in 2000.<BR>  Has been planned but unfortunately, plans are not consistent between grid squares and there are lots of areas where it is unclear what happens to the layer (RLS). The boundaries between 1247 and 1254 are not clearoly enough planned and some arbitrary lines have been included. <SPAN CLASS='id'>[19/01/2001 RSHAFFREY]"
325,C325,1257,C,0,,Victorian trench containing (1305) possibly extension of [1069](1053).,,
326,C326,1258,D,0,,Dark plough soil overlying corridor of Room 8,"Very dark grey, moderately firm, coarse sandy silt. 35-70% gravels and flints, sub rounded, 2-6cm 1100 x 190cm  x 2-4cm thick","TPQ=100.  Grey ware, BB1 & Samian all 2nd - 4th C."
332,C332,1264,D,0,,Possible small post hole / pipe cut through clay floor.,"Dark grey, friable, slightly gritty sandy silt, 15-35&#037; gravel, sub angular, 6-20mm. 60cm diameter. 6 flints around circumferneces up to 20 x 10 x 10cm.",Needs attention in 1999 and now possible 2000 as no new notes in 1999.
345,C345,1277,D,0,Trowel,Layer under (1247) and over (1254).,No details,No details and BF could not find this in 1999.
356,C356,1288,F,0,,Layer fill of votive  pit 1359 - now 1576,"Very dark grey, friable, loamy sand. 35-70% pebbles and gravel, sub rounded, 2-6cm 190cm x 140cm x 90cm thick",Truncated by Victorians chasing walls.
364,C364,1296,F,1295,Trowel,Fill of pit 1295.,"Very dark grey, friable, sandy clay. 5-15% gravel, sub angular, 2-6cm.",Victorian trench 1014 identified a pit and partially excavated it.
370,C370,1302,D,0,,A spread of silty sand.,"2.5Y 4/4, firm, slightly silty coarse sand and containing 35-70&#037; small sub-round flint nodules.   195cm x 185cm, 5cm thick.","Spread of dark earth, cut on 3 sides by Victorian trenches."
417,C417,1351,F,1295,Trowel,Layer of fill in pit [1295].,"Very dark brown, 7.5 YR 2.5/3, friable, sandy Clay  containing <1% gravel, sub-angular, 6-20mm.",see 1296
424,C424,1358,D,0,Trowel,Sub rectangular feature in south west corner of diagonal building,,"Truncated by Victorian trenches, filled by dirty yellow brown clay. notes not clear but see context card for diagram"
428,C428,1362,F,1295,Trowel,Layer of fill of pit [1295].,"Very dark greyish brown 10YR 3/2,  friable, sandy clay and containing 1-5% sub angular gravel 6-20mm.",
458,C458,1393,D,0,,Gravel deposit on North end of wall (1188),"Light grey/brown, moderately loose, slightly sandy silt and containing gravel.  5. Approx. 60cm 0/6cm thick.",Siimilar to wall disturbance 1336.  Possibly related to floor make up in Room 6. Floor make-up&#063;
460,C460,1395,F,0,,Clay lining of pit [1021].,"yellow with occasional pale blue patches, firm and hard at towards base firm but damp and sticky, sandy clay and containing 1-5&#037; flint pebbles and cobbles, angular to sub rounded and 2mm-20cm in size. Some groupings / lines of flint cobbles between 5 and 30cm thick (at base).","Survives almost completely and becomes noticeably damper and stickier below depth of 1.2 m. Not fully excavated in 1998, not known what work done in 1999. Extends under  flint floor 1016 becoming the make-up layer where flints are set."
461,C461,1396,F,0,,Layer between cut for pit [1021] and lining (1395),"Dark brown, firm and sticky, sandy clay containing 15-35&#037; very small pebbles, infrequent very medium sized pebbles, angular to sub angular and 2-20mm 5. 10cm max",Material  making up 1396 probably dumped before feature was lined. Section 57.
462,C462,1397,D,0,,Fill of depression or shallow cut.,"Very dark grey, 10YR 3/1, mixed, yellow and black clay with some silty inclusions, sandy clay  and containing 35-70&#037; inclusions, sub angular to sub rounded, 2mm-6cm",Fill partially encased by 1466 a possible Victorian backfill May be associated with robber cut for back of room 1.
475,C475,1410,D,0,,Spread of clay partially covering 1397,"yellow clay, compacted and containing 30&#037; inclusions, sub angular to sub rounded and 6mm-6cm 5. 4m x 2.5 m extent, variable edge definition",
498,C498,1433,S,0,Trowel,Hearth below Vict.  backfill [1297],No notes,No other notes except 'group no.'
512,C512,1447,D,0,Trowel,Heat altered fill which may be top layer of a furnace.,"Pinkish white loose, silt. 61cm wide by 2mm deep. Contains 1-5% large sub-rounded pebbles. Trowelled in sunny dry conditions.",Context has been completely removed.  Op. Sig. Plan number still 1447/16D and section number 113.
513,C513,1448,D,0,,Burnt layer below 1447 - possibly second fill of furnace,"Red, friable, clayey silt. 61cm wide x 7cm deep. Contains 1-5% pebbles, 2-6cm in size and sub-rounded. trowelled in sunny dry conditions.",Context completely excavated.  Plan number still 1447 16D and section 113.
522,C522,1457,D,0,Trowel,Thin layer of silty gravelly soil under clay layer /over burnt surface.,"1. very dark greyish brown  2. silty  3.  4.  15-35% gravel inclusions, sub angular and 2-20mm. Also flint, nails, charcoal and pottery.",Some tesselated flooring showing through area 21C in NE corner of diagonal building.
526,C526,1461,D,0,,Clay surface,No card,No card
530,C530,1465,F,1295,Trowel,Mixed clay fill of 1295.,No card.,No card.
531,C531,1466,D,0,,Area to north of robber cut 1535 and next to 1488.,"1. Sandy clay   2. yellow   3. 15cm deep, 2m x 4m.  4. 15-35%  flint and gravel, of angular to  sub rounded and 2mm-20cm.",Similar to 1410.
537,C537,1472,D,0,Trowel,"Large yellowish clay spread in 04, 09","Mid greyish yellow, friably silty clay Inclusions: CBM flecks 5%, gravel pebbles 5-15% (S-A) (S-R) (2-6mm) (6-20mm) Thickness: 10cm max Vague edge definition","Clay spread overlying dark spread (1277), similar to adjacent (3634). Cut through by post hole [3325]. It appears to have be removed partially in earlier seasons (1998) without up dating records. Hence, original extent not fully known. Completely removed in 2001 Partially planned (see plan window) but not fully - appears on plans of other contexts only and not frequently enough to digitise extent [22/01/2001 RSHAFFREY]"
539,C539,1474,D,0,Trowel,Part of supposed floor make up in Room 5.,"1. grey  2. sandy silt  4. >70% gravel and flint, sub rounded, 2-6cm. less than 6cm thick",Fill of irregular hollow in NW corner of building.
541,C541,1476,F,0,,Mixed fill of pit.,"Yellow sandy clay with a red burnt area and very dark greyish brown, 5-15&#037; charcoal and nails, sub angular to sub rounded, 2mm-6cm",No other notes
542,C542,1477,D,0,Trowel,"Stiff trowell of room 4 to further define features, 1498 and 1499.","1. very dark grey  2. moderately firm  3. coarse sandy silt   4. 35-70% gravel and flint, sub rounded, 2-6cm   940cm x 680cm x 2cm thick",No notes
547,C547,1482,C,0,Trowel,Cut for slumping feature containing 1456.,1. Irregular  3. 180cm x 90cm x 10cm thick  4-7. Gradual slopes with irregular sides and base No vertical edges o defined shape,Possibly infilled slumping feature under clay floor surface to NW of diagonal building (outside).
551,C551,1486,D,0,,Dark layer below (1476).,"Black, clay, gritty",No notes.
