"REC_TYPE","FNO","TYPE","DETAILS"
"SF",2573,"D","Small square of white metal (possibly lead or copper alloy). Serrated at edges. Found in environmental sample 579."
"SF",2574,"D","Three tiny fragments of sheet. [sig:08/01/2003 KTOOTELL]<br /><span style="
"SF",2574,"C","<SPAN>COLEM: C030255. Date in: 31-03-03. Date finished: 12-05-03. Condition: All have thin coating of powdery soil and&nbsp;corrosion. Brown patinas beneath with areas of pale turquoise corrosion&nbsp;but this does not&nbsp;appear to be active. Treatment: Removed corrosion/soil - small handtools. Degreased - acetone. Stabilised - BTA, 3% in IMS under vacuum.. Rinsed - IMS. Dried - air. Laquered - Incralac, 50% in toluene.&nbsp;&nbsp;</SPAN>"
"SF",2575,"D","Small Copper alloy pellet. ?residue from bronze working or from burnt copper alloy object. [sig:08/01/2003 KTOOTELL]<br /><span style="
"SF",2575,"C","<SPAN>COLEM: C030256. Date in: 31-03-03. Date finished: 22-04-03. Condition: Thin layer of soil and corrosion overlying a rough dark surface, stained by soil. Has little evidence of original surface. Some areas of pale friable corrosion visible but not active. Treatment: Removed corrosion/soil - small handtools. Degreased - acetone. Stabilised - BTA, 3% in IMS under vacuum.. Rinsed - IMS. Dried - air. Laquered - Incralac, 50% in toluene. </SPAN>"
"SA",579,"D","<SPAN>5 litres of soil processed in 2002. Sample exposed for hours. Sample taken because of remains from burning/charcoal.</SPAN>"
"BF",27421,"D","Roman 1 bag 2001"
"BF",27461,"D","Roman 1 bag 2001"
"SF",2155,"D","Spring and pin only, with part of superior cord."
"SF",2155,"C","<SPAN>COLEM: C210585. Date in: 06-12-01. Date finished: 18-01-02. Condition: Very heavily corroded. Surface covered with mixture of powdery corrosion products mixed with some burial deposits. These overlie a pitted and denuded metallic surface, the pin section being particularly deteriorated. No evidence of a patina or original surface, but also no active corrosion. Treatment: Removed burial deposits / corrosion - small handtools. Degreased - acetone. Stabilised - BTA, 3% in IMS under vacuum. Rinsed - IMS. Air dried. Lacquered - Incralac, 50% in toluene. </SPAN>"
"BF",27471,"D","Roman including Samian 2 bags <540> 2001 2001 pottery from C3247 now in C3972 [sig:S Williams 7/4/2006]"
"BF",27473,"D","Flue-tile, Pawprint 1 bag <540> 2001"
"BF",27474,"D","Nails 1 bag, Other 1 bag <540> 2001"
"BF",27475,"D","Roman 1 bag 2001"
"BF",27478,"D","Animal including teeth 1 bag <540> 2001"
"BF",27480,"D","Charcoal 1 bag <540> 2001"
"SF",2263,"D","Small spherical-headed nail possibly from a composite stud, with head and shank made separately. [11/04/2006 N.Crummy]"
"SF",2331,"D","Many tiny fragments, possibly discoid originally."
"SF",2331,"C","<SPAN>COLEM: C210614. Date in: 06-12-01. Date finished: 05-02-02. Condition: Totally corroded: object consists of imprint and part of corrosion layer from a circular object preserved on the surface of a soil block (further minute fragments of corroded copper alloy found in loose soil in the bag). Layer is rough and discontinuous, having large cracks and areas of loss. Attempted to consolidate <EM>in situ</EM> in attampt to separate it from underlying soil. This was unsuccessful and the object disintergrated when removed from underlying block. Treatment: Stabilised - BTA, 3% in IMS applied to surface.&nbsp;&nbsp;Air dried. Consolidated - 0.5% Paraloid B72 in acetone/IMS, 50:50. Removed soil - small handtools.</SPAN>"
"SF",2437,"D","Fragment of a red ware spindlewhorl, with neatly ground edge and worn spindle hole. [11/04/2006 N.Crummy]"
"SF",2486,"D","Decorated with crest on top of bow and marginal mouldings on top of bow; with cord fragment. Polden Hill type. Pin to brooch is SF2501"
"SF",2486,"C","<SPAN>Treatment; Removed corrosion/soil - small handtools. Degreased - acetone. Stabilised - BTA, 3% in IMS under vacuum.. Rinsed - IMS. Dried - air. Laquered - Incralac, 50% in toluene. </SPAN>"
"SF",2486,"C","<SPAN>COLEM: C030245. Date in: 31-03-03. Date finished: 28-04-03. Conditon: Fair. Pin missing except for small fragment. Brooch has crust of gritty soil mixed with powdery corrosion overlying surface. This has a roughened, brown-green patina, with areas of reddish bulky corrosion. This has caused pitting and areas of other surface loss but does not appear active.Treatment: Removed corrosion/soil - small handtools. Degreased - acetone. Stabilised - BTA, 3% in IMS under vacuum.. Rinsed - IMS. Dried - air. Laquered - Incralac, 50% in toluene. </SPAN>"
"SF",2501,"D","Pin and spring, from brooch SF2486"
"SF",2501,"C","<SPAN>COLEM: C030248. Date in: 31-03-03. Date finished:28-04-03. Condition: Fair. Thin layer of powdery corrosion and soil overlying a mid-green/brown patina.This is roughened and has small areas of loss, exposing a denuded metallic core (particularly towards the point).Treatment: Removed corrosion/soil - small handtools. Degreased - acetone. Stabilised - BTA, 3% in IMS under vacuum.. Rinsed - IMS. Dried - air. Laquered - Incralac, 50% in toluene. </SPAN>"
"SF",2501,"C","<SPAN>Treatment: Removed corrosion/soil - small handtools. Degreased - acetone. Stabilised - BTA, 3% in IMS under vacuum.. Rinsed - IMS. Dried - air. Laquered - Incralac, 50% in toluene. </SPAN>"
"SF",2487,"D","Knob head above two reels, tip missing.See Cool 1990, Group 6."
"SF",2487,"C","<SPAN>COLEM: C030246. Date in; 31-03-03. Date finished: 22-04-03. Condition: Incomplete (tip missing) otherwise good. Has thin crust of pale powdery corrosion and soil obscuring the surface. This latter has a smooth grey green patina. Pitting and other slight damage to the terminal but not&nbsp;actively corroding. Treatment: Removed corrosion/soil - small handtools. Degreased - acetone. Stabilised - BTA, 3% in IMS under vacuum.. Rinsed - IMS. Dried - air. Laquered - Incralac, 50% in toluene. </SPAN>"
"SF",2568,"D","Very corroded iron strap."
"BF",27483,"D","1 bag <496> 2001"
"BF",27484,"D","Other 1 bag <496> 2001"
"BF",27488,"D","Animal 1 bag <496> 2001"
"BF",27521,"D","Roman 1 bag <488> 2001"
"BF",27523,"D","1 bag <488> & <495> 2001"
"BF",5154,"D","Nails 2g 2003"
"BF",5151,"D","Roman 1 bag 2001"
"BF",5151,"D","Roman 1 bag 2003"
"BF",5158,"D","Animal 1 bag 2001"
"BF",5161,"D","1 bag from 1999"
"BF",5164,"D","1 bag from 1999"
"BF",5168,"D","1 bag from 1999"
"BF",5170,"D","lump of calcite mineral from 1999"
"BF",5162,"D","Brick, flat 110x110x40, 1400g, Swipe Marks, 1999 Brick, flat 140x40x40, 500g, Swipe Mark, 1999"
"BF",5188,"D","Animal bone. 25g 2003"
"BF",5181,"D","Roman 1 bag 2001"
"BF",5181,"D","Roman including Samian 1 bag 2003"
"BF",5248,"D","Animal bone. 10g 2003"
"BF",5245,"D","Roman. 1 bag 2003"
"BF",5241,"D","Roman 1 bag 2003"
"BF",6253,"D","1 bag from 1999"
"BF",6264,"D","1 bag from 1999"
"BF",6261,"D","1 bag from 1999"
"BF",6267,"D","1 bag kept from 1999"
"BF",6262,"D",
"BF",6291,"D","1 bag from 1999"
"BF",6294,"D","1 bag from 1999"
"BF",6297,"D","1 bag from 1999 kept"
"BF",6298,"D","1 bag from 1999"
"BF",6401,"D","1 bag from 1999"
"BF",6403,"D","1 bag from 1999 including some prints"
"BF",6404,"D","2 bags from 1999"
"BF",6405,"D","1 bag from 1999"
"BF",6407,"D","1 bag from 1999"
"BF",6408,"D","1 bag from 1998"
"BF",6410,"D","1 bag from 1999"
"BF",6402,"D","Tegula, 115x170x60, 3650g, Swipe Marks, 1999 Unident, 130x120x45, 2500g, Swipe Marks, 1999 Unident, 140x90x45, 4100g, Swipe Marks, 1999 Unident, 120x130x40, 9500g, Swipe Marks, Paw   Finger Prints (kept), 1999 Tegula, 180x70x20, 2100g, Shallow Combing (kept), 1999 Unident, 140x70x30, 1550g, Deep indentation (kept), 1999<br /><br />Cutaway Type C - 1 piece. Date range AD160-260 (Warry)<br /><span style="
"BF",6412,"D","Cutaway type B - 1 piece, type C - 3 pieces, type D - 1 piece. Date range (B) 100-180, (C) 160-260, (D) 240-380AD<br /><span gray="" style="">[SWILLIAMS - 17 October 2006 10:46:35]</span>"
"BF",6411,"D","Roman 1 bag 2001"
"BF",6413,"D","2 bags 2001"
"BF",6504,"D","Nails 5g 2003"
"BF",6501,"D","Roman 1 bag 2001"
"BF",6501,"D","Roman 1 bag 2003"
"BF",6508,"D","Animal 1 bag 2001"
"BF",6508,"D","Animal 60g 2003"
"SF",3133,"D","Fragment of cu alloy brooch. Nauheim derivative - mid 1st century AD (Crummy 25/11/03)"
"SF",3133,"C","<SPAN>COLEM: C040668. Date in: 03-08-04. Date finished: 12-08-04. Condition: Pin missing: Surface obscured by thin hardened layer of corrosion and soil. Irregular grey/green patina beneath, pitted and roughened by small areas of cuprite and other bulkier corrosion. Pockets of pale&nbsp;powdery corrosion in places but this does not appear to be active. Treatment<SPAN>: Removed corrosion - small handtools. Degreased - acetone. Stabilised - BTA, 3% in IMS under vacuum. Rinsed - IMS. Dried air. Laquered - Incralac, 50% in toluene</SPAN> </SPAN>"
"SF",3133,"D","<P><SPAN>Nauheim derivative brooch, part of spring and pin missing. Wire bow.</SPAN></P>"
"SA",685,"D","<SPAN>Mortar sample.</SPAN>"
"SA",685,"D","<SPAN>Mortar sample from wall 1150. Exposed for minutes only.</SPAN>"
"BF",6512,"D","Cutaway type B - 1 piece, C - 2 pieces. Date range: (B) 100-180, (C) 160-260 (Warry)<br /><span style="
"BF",6511,"D","Roman 1 bag 2001"
"BF",6514,"D","Nails 1 bag 2001"
"SF",2756,"D","<p>Copper alloy brooch pin. [sig:13/01/2003 KTOOTELL] </p><p>&nbsp;</p><p>Pin from bow brooch, large</p><p>[N.Crummy 18/05/06]</p>"
"SF",2756,"C","<SPAN>COLEM: C030295. Date in: 31-03-03. Date finished: 28-04-03. Condition: Slightly bent. Surface encrusted with thin layer of powdery corrosion compacted with soil. Has smooth pale green patina beneath disrupted by localised areas of pitting and other surface loss. Not actively corroding. Treatment: Removed corrosion/soil - small handtools. Degreased - acetone. Stabilised - BTA, 3% in IMS under vacuum. Rinsed - IMS. Dried - air. Laquered - Incralac, 50% in toluene.</SPAN>"
"SF",2773,"D","<p>Partial Samian stamp - illegible. [sig:13/01/2003 KTOOTELL] </p><p><table style="
"SF",3142,"D","Tip of fe knife blade, highly corroded but retains good shape. [sig:28/09/2003 SWILLIAMS]<br /><br />Strip fragment, tapering to a point. Section is thin and even, not triangular as it would be on a knife. Not yet X-rayed. [28/06/2006 N Crummy]"
"SA",627,"D","<SPAN>Mortar sample. Exposed for minutes only. Contaminated with worms, insects. Large stones removed (top layer of wall).</SPAN>"
"BF",6525,"D","Roman glass. 1 bag 2003"
"BF",6521,"D","Roman 1 bag 2001"
"BF",6521,"D","Roman 1 bag 2003"
"BF",6528,"D",
"BF",6528,"D","Animal bone. 40g 2003"
"SA",703,"D","<SPAN>Mortar sample from wall 1152. Sample exposed for minutes only.</SPAN>"
"BF",6578,"D","Animal bone. 50g 2003"
"SA",740,"D","<SPAN>Sample taken for mortar analysis.</SPAN>"
"BF",6581,"D","Roman 1 bag 2003"
"BF",6588,"D","Animal bone. 25g 2003"
"SF",3140,"D","Fe head of trowel, very corroded but intact. Ref: Crummy (1981) p.112, fig. 2975. Possibly mason's trowel as found by the wall of House 1. [sig:28/09/2003 SWILLIAMS]  Mason's or plasterer's trowel with integral tang and handle; only a stump of the tang remains. Compare with a complete one from Colchester, Crummy 1983, fig 115, 2975. [25/04/2006 N.Crummy]"
"SF",3140,"C","X-ray no: CX1083"
"BF",6601,"D","Roman 1 bag 2003"
"BF",6604,"D","Nails. 5g 2003"
"BF",6608,"D","Animal bone. 50g 2003"
"SF",3229,"D","Fragment of base of quernstone. Ridges visible. Hole in top, natural or drilled?"
"BF",6611,"D","Roman pottery 1 bag 2003<span class="
"BF",6617,"D","Sample of burnt sandstone retained 2003<span class="
"BF",6618,"D","Animal Bone including teeth 40g 2003<span class="
"BF",6621,"D","Roman. 1 bag 2003"
"BF",6632,"D",
"SF",3219,"D","Fragment of quernstone base. Green sandstone."
"SF",3220,"D","Fragment of quernstone top. Green sandstone. Ridges visible.  Possibly associated with SF.3219"
"SF",3253,"D","Possible very worn quernstone fragment. Worked green sandstone. Rounded off at one end."
"BF",6631,"D","Roman including Samian. 1 bag 2003"
"BF",6634,"D","Nails. 1 bag 2003"
"BF",6638,"D","Animal 80g 2003"
"SA",720,"D","<SPAN>Mortar sample from wall. Exposed for minutes only.</SPAN>"
"BF",6641,"D","Roman 1 bag 2003"
"BF",6643,"D","CBM tesserae. 1 bag 2003"
"BF",6644,"D","Nails. 2g 2003"
"BF",6648,"D","Animal bone. 50g 2003"
"BF",6651,"D","Roman 1 bag 2001"
"BF",6682,"D","Tegula, 105x145x60, 2450g, Paw / Finger Prints (kept), 1999 Brick, Flat, 250x125x40, 3750g, Swipe Mark, 1999 Unident, 150x110x30, 7300g, Finger Print (kept), 1999"
"BF",6681,"D","Roman 1 bag 2001"
"BF",6683,"D","Tessarae and pawprints 1 bag 2001"
"SF",2614,"D","Loop or severely bent shaft fragment. [sig:08/01/2003 KTOOTELL]  ?deliberately bent votive - wheel symbol? [N Crummy, 11/04/06]"
"SF",2614,"O",
"SF",2614,"C","<SPAN>COLEM: C030261. Date in: 31-03-03. Date finished: 22-04-03. Condition: Upon receipt was encased in thick amorphous layer of compacted corrosion and gritty soil. Surface beneath has a green-brown patina, roughened and pitted by bulky corrosion. Areas of loss to surface exposing a pale turquoise layer of friable corrosion overlying a metallic core. Actively corroding. Treatment: Removed corrosion/soil - small handtools. Degreased - acetone. Stabilised - BTA, 3% in IMS under vacuum.. Rinsed - IMS. Dried - air. Laquered - Incralac, 50% in toluene. </SPAN> [sig:20/10/2004 NCRUMMY] <"
"SF",551,"D","Samian base, spiral design on internal surface, centrally placed, possibly deliberate broken to create gaming piece."
"SF",528,"D","L-shaped iron object.  Width: max = 36mm, min = 14mm. possible match in Crummy 4694 (or 4071,4082,2052)."
"BF",7231,"D",
"BF",7234,"D","1 bag of nails and frags and 1 bag of other from 1998"
"BF",7235,"D","1 bag from 1998"
"BF",7238,"D","1 bag from 1998"
"BF",7371,"D","1 bag from 1998"
"BF",7373,"D","1 bag from 1998"
"BF",7374,"D","2 bags from 1998"
"BF",7375,"D","1 bag from 1998"
"BF",7376,"D","1 bag from 1998"
"BF",7378,"D","1 bag from 1998"
"BF",7401,"D","1 bag from 1998"
"BF",7404,"D","1 bag from 1998"
"BF",7408,"D","1 bag from 1998"
"BF",7421,"D","1 bag from 1998"
"BF",7424,"D","1 bag from 1998"
"BF",7425,"D","1 bag from 1998"
"BF",7431,"D","2 bags from 1998"
"BF",7433,"D","1 bag from 1998"
"BF",7434,"D","1 bag from 1998"
"BF",7435,"D","1 bag from 1998"
"BF",7436,"D","1x tessera of Dolomite Cementstone, 1998<br /><span style="
"BF",7437,"D","1 bag from 1998 kept"
"SF",975,"D","Double conical form with three pairs of grooves on upper part, horizontal groove on lower part; slightly bent. Group 10, Sub-group 10.Cool 1990,160."
"SF",975,"C","<SPAN>COLEM: C200107. Date in: 23-02-00. Date finished : 16-03-00. Condition: Minor corrosion. Pin slightly bent. Some remaining detail of a pattern on the head of the pin. Treatment:&nbsp; Mechanical removal of corrosion with scalpel. Stabilised using BTA in 3%&nbsp;IMS. Rinsed - IMS.&nbsp;Lacquered with Incralac in&nbsp;50%&nbsp;toluene. </SPAN>"
"BF",7541,"D","Roman including Samian 1 bag 2001"
